t,lambda,kernel,sigma_min,E_min,B_delta
14.1347251417347,10.0,gauss,0.5,2.3947580476452756e-29,0.00015863207097976603
21.0220396387715,10.0,gauss,0.5,4.0272864789462265e-27,0.00022736779919348157
25.0108575801457,10.0,gauss,0.5,2.393172932560777e-28,0.0002743442308625518
30.4248761258595,10.0,gauss,0.5,2.2366375839676633e-28,0.00026078816510533145
32.9350615877392,10.0,gauss,0.5,1.5799587431318865e-28,0.0002764238809842039
14.1347251417347,10.0,fejer,0.5,2.3947580476452756e-29,0.0001586320339656187
21.0220396387715,10.0,fejer,0.5,4.0272864789462265e-27,0.00022736774614099875
25.0108575801457,10.0,fejer,0.5,2.393172932560777e-28,0.00027434416684890236
30.4248761258595,10.0,fejer,0.5,2.2366375839676633e-28,0.0002607881042547638
32.9350615877392,10.0,fejer,0.5,1.5799587431318865e-28,0.0002764238164853028
14.1347251417347,10.0,poisson,0.5,2.3947580476452756e-29,0.00015863207097976682
21.0220396387715,10.0,poisson,0.5,4.0272864789462265e-27,0.0002273677991934827
25.0108575801457,10.0,poisson,0.5,2.393172932560777e-28,0.0002743442308625532
30.4248761258595,10.0,poisson,0.5,2.2366375839676633e-28,0.0002607881651053328
32.9350615877392,10.0,poisson,0.5,1.5799587431318865e-28,0.00027642388098420527
14.1347251417347,30.0,gauss,0.5,2.3947580476452756e-29,0.000158632039253355
21.0220396387715,30.0,gauss,0.5,4.0272864789462265e-27,0.00022736775371992628
25.0108575801457,30.0,gauss,0.5,2.393172932560777e-28,0.00027434417599371113
30.4248761258595,30.0,gauss,0.5,2.2366375839676633e-28,0.0002607881129477037
32.9350615877392,30.0,gauss,0.5,1.5799587431318865e-28,0.00027642382569943323
14.1347251417347,30.0,fejer,0.5,2.3947580476452756e-29,0.0001586320339656187
21.0220396387715,30.0,fejer,0.5,4.0272864789462265e-27,0.00022736774614099875
25.0108575801457,30.0,fejer,0.5,2.393172932560777e-28,0.00027434416684890236
30.4248761258595,30.0,fejer,0.5,2.2366375839676633e-28,0.0002607881042547638
32.9350615877392,30.0,fejer,0.5,1.5799587431318865e-28,0.0002764238164853028
14.1347251417347,30.0,poisson,0.5,2.3947580476452756e-29,0.00015863203925336214
21.0220396387715,30.0,poisson,0.5,4.0272864789462265e-27,0.0002273677537199365
25.0108575801457,30.0,poisson,0.5,2.393172932560777e-28,0.00027434417599372343
30.4248761258595,30.0,poisson,0.5,2.2366375839676633e-28,0.0002607881129477154
32.9350615877392,30.0,poisson,0.5,1.5799587431318865e-28,0.00027642382569944564
14.1347251417347,50.0,gauss,0.5,2.3947580476452756e-29,0.00015863200752695033
